word|transliteration
ラジオ|らじお
入院|にゅういん
ニュース|にゅーす
旅行|りょこう
用意|ようい
伸びる|のびる
パーティー|ぱーてぃー
ビール|びーる
早く|はやく
番組|ばんぐみ
ビデオ|びでお
増やす|ふやす
振る|ふる
迎える|むかえる
無理|むり
珍しい|めずらしい
有名|ゆうめい<div>ゆめ夢</div>
喜ぶ|よろこぶ
留学|りゅうがく
料理|りょうり
野菜|やさい
分かれる|わかれる
特別|とくべつ
理由|りゆう
自由|じゆう
方向|ほうこう
残る|のこる
ビル|びる
まとめる|まとめる
流れる|ながれる
セーター|せーたー
シャツ|しゃつ
洗濯|せんたく
間違える|まちがえる
アイスクリーム|あいすくりーむ
乾く|かわく
冷める|さめる
色々|いろいろ
持って行く|もっていく
着替える|きがえる
石鹸|せっけん
野球|やきゅう
昼食|ちゅうしょく
朝食|ちょうしょく
眠る|ねむる
初め|はじめ
火|ひ
西|にし
東|ひがし
南|みなみ
夕食|ゆうしょく
なかなか|なかなか
励ます|はげます
涙|なみだ
夢|ゆめ
職場|しょくば
隣|となり
マンション|まんしょん
エレベーター|えれべーたー
窓|まど
押す|おす
入学|にゅうがく
戸|と
通り|とおり
亡くなる|なくなる
夫婦|ふうふ
女性|じょせい
森|もり
トラック|とらっく
レコード|れこーど
熱|ねつ
ページ|ぺーじ
踊る|おどる
長さ|ながさ
厚さ|あつさ
秘密|ひみつ
凄い|すごい
親切|しんせつ
絶対|ぜったい
先月|せんげつ
一昨年|おととし
冬休み|ふゆやすみ
夏休み|なつやすみ
休日|きゅうじつ
正月|しょうがつ
思い出|おもいで
たまに|たまに
おかしい|おかしい
浅い|あさい
君|きみ
奥さん|おくさん
赤ちゃん|あかちゃん
小学生|しょうがくせい
貸す|かす
数える|かぞえる
生む|うむ
育つ|そだつ
是非|ぜひ
黒|くろ
おもちゃ|おもちゃ
靴|くつ
連絡|れんらく
伝言|でんごん
預ける|あずける
下がる|さがる
泳ぐ|およぐ
アルバイト|あるばいと
コート|こーと
趣味|しゅみ
散歩|さんぽ
幸せ|しあわせ
安心|あんしん
大勢|おおぜい
医者|いしゃ
運転手|うんてんしゅ
新幹線|しんかんせん
往復|おうふく
コピー|こぴー
奥|おく
重さ|おもさ
親しい|したしい
修理|しゅうり
カード|かーど
挨拶|あいさつ
階段|かいだん
配る|くばる
断る|ことわる
グラム|ぐらむ
濃い|こい
壊す|こわす
桜|さくら
仕方|しかた
絵|え
気温|きおん
品物|しなもの
吸う|すう
案内|あんない
スキー|すきー
金持ち|かねもち
尋ねる|たずねる
叩く|たたく
帰り|かえり
卵|たまご
氷|こおり
留学生|りゅうがくせい
ソフト|そふと
歯医者|はいしゃ
蹴る|ける
敷く|しく
ひととき|ひととき
交通事故|こうつうじこ
遭う|あう
招待|しょうたい
咲く|さく
二十歳|はたち
銀|ぎん
内側|うちがわ
池|いけ
石|いし
愛|あい
課|か
大学院|だいがくいん
台所|だいどころ
カラー|からー
すり|すり
キャンプ|きゃんぷ
オートバイ|おーとばい
建つ|たつ
刺す|さす
言い方|いいかた
沈む|しずむ
組み立てる|くみたてる
恐ろしい|おそろしい
外人|がいじん
牛|うし
食堂|しょくどう
毎年|まいねん
毎週|まいしゅう
何度|なんど
 なかなか| なかなか
さっき|さっき
久しぶり|ひさしぶり
便利|べんり
迷惑|めいわく
そんなに|そんなに
びっくりする|びっくりする
足りる|たりる
疲れる|つかれる
ひどい|ひどい
全然|ぜんぜん
猫|ねこ
デパート|でぱーと
トイレ|といれ
地下鉄|ちかてつ
駐車場|ちゅうしゃじょう
ぶつかる|ぶつかる
運賃|うんちん
通学|つうがく
見送る|みおくる
泣く|なく
レストラン|れすとらん
メモ|めも
予約|よやく
番号|ばんごう
注文|ちゅうもん
パン|ぱん
ワイン|わいん
材料|ざいりょう
豚肉|ぶたにく
焼く|やく
匂い|におい
付ける|つける
痩せる|やせる
届ける|とどける
間に合う|まにあう
向く|むく
強さ|つよさ
得意|とくい
塗る|ぬる
投げる|なげる
習う|ならう
注目|ちゅうもく
未来|みらい
箱|はこ
右手|みぎて
左手|ひだりて
プール|ぷーる
ピアノ|ぴあの
光る|ひかる
踏む|ふむ
別々|べつべつ
ボール|ぼーる
握る|にぎる
真っ赤|まっか
拾う|ひろう
回す|まわす
ノート|のーと
辞める|やめる
揺れる|ゆれる
立派|りっぱ
練習|れんしゅう
割る|わる
部分|ぶぶん
拭く|ふく
招く|まねく
急|きゅう
汚れる|よごれる
渡る|わたる
途中|とちゅう
インタビュー|いんたびゅー
盗む|ぬすむ
普段|ふだん
旅館|りょかん
博物館|はくぶつかん
ホーム|ほーむ
引っ越す|ひっこす
荷物|にもつ
家賃|やちん
計画|けいかく
廊下|ろうか
天井|てんじょう
ベッド|べっど
ソファー|そふぁー
屋根|やね
祭り|まつり
離婚|りこん
葉|は
ボート|ぼーと
燃える|もえる
巻く|まく
プラスチック|ぷらすちっく
訪れる|おとずれる
破る|やぶる
関係|かんけい
不幸|ふこう
録音|ろくおん
外国語|がいこくご
着物|きもの
牛乳|ぎゅうにゅう
救急車|きゅうきゅうしゃ
果物|くだもの
間違い|まちがい
映画館|えいがかん
怖い|こわい
鏡|かがみ
草|くさ
敬語|けいご
欠席|けっせき
スイッチ|すいっち
掃除|そうじ
畳|たたみ
速さ|はやさ
林|はやし
プレゼント|ぷれぜんと
弁当|べんとう
いつでも|いつでも
寂しい|さびしい
少しも|すこしも
尊敬|そんけい
テニス|てにす
広さ|ひろさ
読み|よみ
我慢|がまん
国籍|こくせき<br>国際　こくさい
恥ずかしい|はずかしい
ボタン|ぼたん
洋服|ようふく
油|あぶら
おかしい|おかしい
余る|あまる
"""コート<div><font color=""""#8e8e93"""">(sport)</font></div>"""|こーと
正直|しょうじき
ドラマ|どらま
ビザ|びざ
水道|すいどう
店員|てんいん
電池|でんち
ポケット|ぽけっと
握手|あくしゅ
そろそろ|そろそろ
ぶどう|ぶどう
迷う|まよう
見物|けんぶつ
知らせる|しらせる
神社|じんじゃ
注射|ちゅうしゃ
めったに|めったに
作文|さくぶん
鳴る|なる
真面目|まじめ
申し込む|もうしこむ
冷蔵庫|れいぞうこ
気に入る|きにいる
クリスマス|くりすます
ネクタイ|ねくたい
誕生日|たんじょうび
独身|どくしん
苦い|にがい
バイオリン|ばいおりん
バッグ|ばっぐ
今まで|いままで
切符|きっぷ
ゴム|ごむ
少々|しょうしょう
随分|ずいぶん
引っ張る|ひっぱる
焼ける|やける
鉛筆|えんぴつ
会話|かいわ
ギター|ぎたー
茶|ちゃ
暑さ|あつさ
胃|い
禁煙|きんえん
丸い|まるい
写る|うつる
喫茶店|きっさてん
やっぱり|やっぱり
週刊誌|しゅうかんし
棚|たな
